height,block_hash,valid_claims,losers,legacy_winner_txid,canonical_winner_txid,winner_changed,credited_pow_pool_sat,legacy_uncredited_loser_fees_sat,canonical_reimbursement_sat,legacy_winner_v30_1_1_credit_sat,legacy_winner_credit_delta_sat,replacement_winner_v30_1_1_credit_sat,replacement_winner_credit_delta_sat,remaining_claimants_credit_delta_sat,value_reassigned_sat,block_total_credit_delta_sat
5950027,"36432089627e307338b793c385fb61cb724926e3f2c2988bf14d12e3f68960eb",3,2,"57341d63b2b355abfabf5532a12e03219cd6353b20a4b85dfe8cd078ca313a1b","d3650cad306c5f483150a14d9f399aac2cfce21a267c354493d418137b745564",1,29000000000,50600,50600,25300,-28999974700,28999949400,28999949400,25300,28999974700,0
5950028,"84b425527a62e1daaadb24d0c5509a36b7cea2688a5c4283d0e3a943fc87b668",2,1,"82c0985cb4d55a401b0f6c1f322636422c62204ccf55b5a4e9f83802169c361c","63973a6a6bdeadf0d2807c7a0cfe6e387bd9625557e9135458059bd5b5cce0ee",1,29000000000,28700,28700,28700,-28999971300,28999971300,28999971300,0,28999971300,0
5950040,"bf9f3dcc587709a81a8c89d64022e630c1ea08710724e215f40a730f298ab856",2,1,"a0ffbe2336f49bf84c9f3de5c72bd178f9d0e06349e759d10435c00b87e9e4d9","484af6c579f3545f10713807f5ab8c57daa0cbf09859bc1a023c3b0512ec92da",1,29000000000,28700,28700,28700,-28999971300,28999971300,28999971300,0,28999971300,0
5950058,"23157a47d234aa450d92b06f69d8169e6ebf5a0d07436f701fcd6a49a39a21ca",2,1,"47c9c409a826766206383fd1580acc5eb5ced7c695333768d95e724353de4dbb","d7995c41288ac74d9b5305454c20aa5f0cc9b0263eade9bc523ad602d07b8bfc",1,58000000000,28700,28700,28700,-57999971300,57999971300,57999971300,0,57999971300,0
5950066,"89eede2bcb86f4e40fb6da24b1e7092d789201205ae583a1a2f1bc698505e6f5",2,1,"a0c55a8b44ffa1d7ef636e08617154b86ca2e2e72f0b8e914cfb6db3dc083756","a0c55a8b44ffa1d7ef636e08617154b86ca2e2e72f0b8e914cfb6db3dc083756",0,29000000000,28700,28700,28999971300,-28700,0,0,28700,28700,0
5950076,"f78c3ccf1342d163b054d87e27171d0e931ab4f9a1f34fe508dbe1f11593ef09",2,1,"ba7cf6b48b388fb6af02d21928ee70b115794db8e2c014197c7a1b207e831a68","c9bdbdd530c7f44dbd8da7f13f74c1e99b10f3e1b57ddba56f9d151d63ed01d0",1,29000000000,28700,25300,25300,-28999974700,28999974700,28999974700,0,28999974700,0
5950088,"16c325a07148f524ee63b4c480b5e53dd9f2699161d79ed9f3017c8e5c036e19",2,1,"78974a44df1f392fc5a3562fae8e4717cce6b1e76f02e2635e7ee15fb26b7998","78974a44df1f392fc5a3562fae8e4717cce6b1e76f02e2635e7ee15fb26b7998",0,87000000000,28700,28700,86999971300,-28700,0,0,28700,28700,0
5950106,"64bfb6c0161ef401c3b8a71b4380a5cece9fb0c89abc85d342659ffaa6e2e9a6",2,1,"8d235d37177ea041995dc56b27ecbdfa4fd111008c5b3fe45f7926343ae06a92","7246839b3d3c0029a6416a13fef999127beb1c53c0f33dd8fe937cb4d43fdfb9",1,29000000000,28700,28700,28700,-28999971300,28999971300,28999971300,0,28999971300,0
5950107,"cc9cf49ca58faedc767859bd751c6c5ae418f9edd5b5b3360c769687294e54a0",2,1,"abc52f3ff4d3141233a9c13a181dd15249f608572694474d6d950279351e9c56","abc52f3ff4d3141233a9c13a181dd15249f608572694474d6d950279351e9c56",0,29000000000,28700,28700,28999971300,-28700,0,0,28700,28700,0
5950108,"bd3baf52bbac1551e04a979ee390bf7945c5fae3cefbec8d62da876f971f9fd9",2,1,"7121a955862e4f6ead9aa07bda9f6d8d22d461beb706a30e86d7688ad86c5655","7121a955862e4f6ead9aa07bda9f6d8d22d461beb706a30e86d7688ad86c5655",0,29000000000,28700,28700,28999971300,-28700,0,0,28700,28700,0
5950109,"65ef71db99e71cfa6892eb5282c36606a7038d40ff0255bd5839a9a5becc8f8a",2,1,"fc4758ab4a6aa49cdbdd59d7a6a7df6d2d23938977a9f9000580b55bff8f726f","fc4758ab4a6aa49cdbdd59d7a6a7df6d2d23938977a9f9000580b55bff8f726f",0,29000000000,28700,28700,28999971300,-28700,0,0,28700,28700,0
5950121,"0f3af9d7fb60e7899dfee821ca29e2d002ace0ed46debf081f1319ea733a0503",3,2,"02e47324f91bc051c8f6960f7882a467566b9899afdfde6ab2e90a5ebe155789","85d84da0b4a97a66ca4b75fb2eb4b8896eb9986520793f78dcc88347db0be1d7",1,29000000000,57400,57400,28700,-28999971300,28999942600,28999942600,28700,28999971300,0
5950122,"06e94e6d715c715a80d55bc637a4c37ea45d110545e45852e2756f2205c23b47",2,1,"3950b928b7b3666f0cc1ade2b0d4063517be45c913de71834010b397a74c2165","a168f4478752384c2d3d43a46b3b2233350f73d455c35d261f003300d5ae34d8",1,29000000000,28700,28700,28700,-28999971300,28999971300,28999971300,0,28999971300,0
5950124,"c71145da8a33c9e2e8386acca9c3f5421c04951d352751ca7618bf73160b6f9a",2,1,"b2ae7c29836cbff11e288850cdcdaf9e6859877666297089babd4b737f9c5d0f","b2ae7c29836cbff11e288850cdcdaf9e6859877666297089babd4b737f9c5d0f",0,29000000000,28700,28700,28999971300,-28700,0,0,28700,28700,0
5950136,"f16d30d86c047dd765952752619f32b66e0df3dfaa5498ea9696b0e8e24a9d0a",2,1,"3ab279e2943660695bf7e41cbcb9075898417a418941afede6677f14bc46f48e","cd832f6ad151255d800069a955afe3bbecff535041ecab29f1e62f55b34557b3",1,29000000000,28700,28700,28700,-28999971300,28999971300,28999971300,0,28999971300,0
5950138,"bae342594dc38e5b8d76b331ad1ed2061ae37b512a119e071e286cef1fe19275",3,2,"15ecd15e867c97939e6d105ba896385e29cd889bcaae94f163e703ec8b84cd1e","15ecd15e867c97939e6d105ba896385e29cd889bcaae94f163e703ec8b84cd1e",0,29000000000,57400,57400,28999942600,-57400,0,0,57400,57400,0
5950145,"be87136e37a0d9f0069c0a54dc697acbbaef1e54d7c5eac5c0646134d192dd47",2,1,"d3cfa87cfab072f550572b3606e3ed871b5ca1e3adb379d2338f6ed2c305d71b","11115b4ef00958e61ff12cff9cbc76f87a94b77ff2f81afbdfa3f0b152f34126",1,87000000000,28700,28700,28700,-86999971300,86999971300,86999971300,0,86999971300,0
5950178,"7b8bee6557f3056567d3690e233e6394933a6a470b0849ad41278e311995234d",2,1,"69188840c8d879df4dccaa08bfb9ebe0e00630bc1704b66f8b7a958648ac304c","69188840c8d879df4dccaa08bfb9ebe0e00630bc1704b66f8b7a958648ac304c",0,29000000000,28700,28700,28999971300,-28700,0,0,28700,28700,0
5950244,"bab7a72097d4594f1f7bb4b35191013b1d6fb9c4fdd71e2cd43ee5c6bd1a49bf",2,1,"051ecab6beb279a2b53a387f5637a2fcd5f539371bd6c8145c5ecc9e53744abf","051ecab6beb279a2b53a387f5637a2fcd5f539371bd6c8145c5ecc9e53744abf",0,29000000000,28700,28700,28999971300,-28700,0,0,28700,28700,0
5950245,"7a60c655e8731e6150855817a3d450787479e3fea676f8d574d7276a57f97f6c",2,1,"6917d91da894bc65d395beec47c8afc27078f948a509e8a68b36cb2f86bf6162","d7e2e93e150d2542c7b1f61994edab529e5be3bcb127f83a5a25bbca1b8b39d0",1,29000000000,28700,28700,28700,-28999971300,28999971300,28999971300,0,28999971300,0
5950264,"4f6070b03f7cdb014a9b215dee52b68de00de2128e9515208a1c353e31ed4f62",2,1,"057997ec9b1376f5fee6ef280ca0ac0eebc204b7b828c67158d39e39d2146229","057997ec9b1376f5fee6ef280ca0ac0eebc204b7b828c67158d39e39d2146229",0,58000000000,28700,28700,57999971300,-28700,0,0,28700,28700,0
5950288,"eb685c3a622fa7979bbfc016da660bed667ddeeb3dec1c0243c3b1259bd3935b",2,1,"2634dac2f49a5aca331383a8d3f144569f98f889eaa542dffe6c30bb0d54e549","2634dac2f49a5aca331383a8d3f144569f98f889eaa542dffe6c30bb0d54e549",0,58000000000,28700,28700,57999971300,-28700,0,0,28700,28700,0
5950291,"33518072f80aa49a77e7cb33f8d8fd47afa2b5bfb2bb59e50c7b9d0811c98c75",2,1,"6344fdda4ee001eb51cfb26a22e8932272e4c410256ff27bedc7a0613be7130d","573ee4fcae884cf1cc0ca415fa3e7946e067d51ab5442ce46de09239ebb5598b",1,87000000000,28700,28700,28700,-86999971300,86999971300,86999971300,0,86999971300,0
5950293,"8d251e6233b289e1b2d2254fe1c1e7f55be7c19ea8def52a07820130b8d9fe98",2,1,"9bf73b998c7074cb95396f865bf243a911e36af8706f39833c2a6212c881a211","9bf73b998c7074cb95396f865bf243a911e36af8706f39833c2a6212c881a211",0,29000000000,28700,28700,28999971300,-28700,0,0,28700,28700,0
5950303,"fa19caf15264a85a936469880d91b09100e49b74fe45154733e9272e7b1cf8b3",2,1,"7f52f3b2240560083ed2b7f07a8ed4b9fb625f9df598ae94c6c22cf07e4c8003","7f52f3b2240560083ed2b7f07a8ed4b9fb625f9df598ae94c6c22cf07e4c8003",0,29000000000,28700,28700,28999971300,-28700,0,0,28700,28700,0
5950305,"e271edcd8d9f8f3d9747ba5b27e33cb4a5bd0bb618460180ebf43c647b1ea987",3,2,"23ebd97104a22815fcbb002c73ae58cd1329073de7828675b8074179fc85a110","bd9379552c8e5dacc7a8a411e5369608bcaead94bfa1a7042dc88108de7d998a",1,58000000000,57400,57400,28700,-57999971300,57999942600,57999942600,28700,57999971300,0
5950312,"6a07ba4c2a5bff29ef9b17642cb6eeda71f83251c1f55cf1753d76d60a3d5bdc",2,1,"458b6db68b2a897740f2b02933b4636236240178e68c5e6df4c858c655b3f1e2","73232eaf6f05a43556f74f9bd7f5475c3844930a16725e919628e2b68b8f6bd5",1,87000000000,28700,28700,28700,-86999971300,86999971300,86999971300,0,86999971300,0
5950324,"e7273adf4da93add9384a7f7c153d74591496780e9cc092f2470c93c18b9e9ec",2,1,"7fad6c2f5b295e0a9857ac7cbc53879c20fe53775a7420f899304aad582f501c","7fad6c2f5b295e0a9857ac7cbc53879c20fe53775a7420f899304aad582f501c",0,29000000000,28700,28700,28999971300,-28700,0,0,28700,28700,0
5950329,"00bb2ff7bccf8e3bd1a171a096654df968693084957cb779142f2f9b05e71ad3",2,1,"9092557fad5a434dc16f875c970b4dabb3f610528bc6f415b738d4048870b960","9092557fad5a434dc16f875c970b4dabb3f610528bc6f415b738d4048870b960",0,29000000000,28700,28700,28999971300,-28700,0,0,28700,28700,0
5950330,"3f13e305440ad3259b2e3009a27ce12c4aaf58c18f6cf7a6ee7a3258dd43f534",2,1,"e45c305a0906e4c08054d7032a9f4d1d0726de3c1999fb32d78f34a4e263dd48","e45c305a0906e4c08054d7032a9f4d1d0726de3c1999fb32d78f34a4e263dd48",0,29000000000,28700,28700,28999971300,-28700,0,0,28700,28700,0
5950345,"5fb6fb16f7cb2f390dcb3f1a10705f72ba041c3c6cf7d01f53aa130dcc6046dd",2,1,"a5e99e489ff0e0ef178f41bbc6d26914f8756e9ad2a833a1c1356a6ccb48eb0c","af25bc182dae33bfa1895fdb311113e3748d84b96400687c953a3b42694d30ed",1,29000000000,28700,28700,28700,-28999971300,28999971300,28999971300,0,28999971300,0
5950346,"e63fd0612e7a3f64f6607e0c8b1c008c7139f3a2e093ab725925171cb6ad3c9f",2,1,"f29e090da9d6c13ce34ec6dfa683877cd90ff122c256b447e7fff075fd58db6a","f29e090da9d6c13ce34ec6dfa683877cd90ff122c256b447e7fff075fd58db6a",0,29000000000,28700,28700,28999971300,-28700,0,0,28700,28700,0
5950349,"97e78f94540543a8143fc7c444df9cc64beef8a291ae17a7b78138631c970e88",2,1,"9b253547a78ffea55e47fd9f2864853c1d1b8ccdf0e4cff3839500f989552601","0be23c7728731ec82a3ebf86bb9b49e7b239e163837e74c95f6a14926f862d7d",1,58000000000,28700,28700,28700,-57999971300,57999971300,57999971300,0,57999971300,0
5950360,"91825699a1534e58eb1eef1bb1d311281ce4930d310225a65486f3f979f9fe38",2,1,"be44f14a109343b27aa7da7dae0641ab9d93388ab074ff970223812a4bb7e17c","be44f14a109343b27aa7da7dae0641ab9d93388ab074ff970223812a4bb7e17c",0,145000000000,28700,28700,144999971300,-28700,0,0,28700,28700,0
5950366,"1a4430ee2c8d94bf2f79e50af043fa5763b5f676fe4f64f657b69e7ac3144a08",2,1,"e4aaccc33c4caec11bdcd85b16f5908766ecc7221f55a471176b23a5dfe34ab2","d415bafa593a7e3d62a13b362bbea1415028fd052e135aa12a821e2d20b251d1",1,58000000000,28700,28700,28700,-57999971300,57999971300,57999971300,0,57999971300,0
5950371,"16e05f2b03006fa87f47872b98fd12f0758073d87129259f2f5fbdf6e68e6c6e",2,1,"1f8fa1efb5185966991bcf0092733cb9e4cfc0ac4df5915945b6526a8628a428","572f6ff233d00281991891251fb34f70250bef52ac6241b84f3bc2321a049b5f",1,145000000000,28700,28700,28700,-144999971300,144999971300,144999971300,0,144999971300,0
5950373,"30c77556838b942c8dd61843a39c56858034f445bb8b6b21dd17ee83063a78a8",2,1,"d768f279c35f2ae2296d66af8e0e8e815afdcd4e106e35df13c70334e849582c","d768f279c35f2ae2296d66af8e0e8e815afdcd4e106e35df13c70334e849582c",0,58000000000,28700,28700,57999971300,-28700,0,0,28700,28700,0
5950389,"3c8acca1786df50d5acbe917813301fd8d12e97da3a10b7c0107da1c5e1d7a09",2,1,"2b14d21d6adecf7fee083dcfedbd7ff498ec8bde940b89a99b1c3fc1fdfb5283","7a16afe7b2a524ebd22d09296bbdc0397538ede84f71cb80d52dffe6d591f1e0",1,29000000000,28700,28700,28700,-28999971300,28999971300,28999971300,0,28999971300,0
5950392,"a06d8718cf124a9ed38b7ceb78e31e822d8b5995f2240c7560b86dcccc258507",2,1,"b00f84114e05487b210be069c93c564367d62bfc246dc8f494b2011840fec245","6b152fc4292a2e904a38882234d9d0bb80ce2af1367801b42bbe8da6075f2fb4",1,29000000000,28700,28700,28700,-28999971300,28999971300,28999971300,0,28999971300,0
5950394,"ead2cfa731e2810a13320867e967b16dee07c61592c7c9a35ee7eb6ab670379d",3,2,"5809fb4a7c58755a9554e9a7beda0c35eba6b2d079ce6efe441bed0d9c3bb3d3","b5b528ac91bbc2d6444746b2af493a47d7b73db306915e5fbab86b6aa60ae6e7",1,58000000000,57400,57400,28700,-57999971300,57999942600,57999942600,28700,57999971300,0
5950404,"5319535277a61a703cc577c5e77915b2c6201246c78e50410ee08caa255243b7",2,1,"364da82b49e043fc6cd74e951eae65e9e7085e47d6f1fa796c0f4d03b4a7dd87","364da82b49e043fc6cd74e951eae65e9e7085e47d6f1fa796c0f4d03b4a7dd87",0,29000000000,28700,28700,28999971300,-28700,0,0,28700,28700,0
5950428,"c81d63c65c258cfa53d15d24a0123337bbcc1ed8ab8118f369c782682cd200ce",2,1,"6e499391933812d2161f567d80f88d3f2bf165959f87d82d17eef1ee21740104","6e499391933812d2161f567d80f88d3f2bf165959f87d82d17eef1ee21740104",0,290000000000,28700,28700,289999971300,-28700,0,0,28700,28700,0
5950435,"6cdb21d5e461d3debdd3fa401a35307c15db434555a7e7172b511d0000ddafca",2,1,"ae4fcbeffaf350ff6b5c74c89a09756e5ee99f484635208ab35c138755324f49","f8392ddb1df0c6fbbcd3c190f0c1ba59dd11cd28ee9d4080d3a8a2c3c30e1f5e",1,87000000000,28700,28700,28700,-86999971300,86999971300,86999971300,0,86999971300,0
5950449,"47aebba2d98456b57a3c1fe208c51ddd8ccad6398b2c8ef370cea214faa11b35",2,1,"f843dcbf854eeead3e9401f7a53c61c8c530b20ce07d749f9e012c32e2e7e607","6f0ea8dc07af5869b3d15b1b09e56ee6d19b6cfc32753e50414d12ace24984c4",1,29000000000,28700,28700,28700,-28999971300,28999971300,28999971300,0,28999971300,0
5950454,"ff0cce173531ab3041c113e9fe17175df6f33b299a36767407bd6152e91104ce",2,1,"86c614f135a0c6d9f574e5d5872cb13d127587b6aad73571e0ed9ef859e92ca0","8ab7d7ed69ae3892a8dc63214f50c18ead0b724627905cda80c982bfa6c2f7f3",1,87000000000,28700,28700,28700,-86999971300,86999971300,86999971300,0,86999971300,0
5950478,"47fd549fbeec96f3cc04473cf765900b929409954e87861579f64e5faf15d560",2,1,"15600531f415b2dd958b2710e887a1aa586cf0c2da0accdd5ae9842d7d4c1767","15600531f415b2dd958b2710e887a1aa586cf0c2da0accdd5ae9842d7d4c1767",0,29000000000,28700,28700,28999971300,-28700,0,0,28700,28700,0
5950503,"1ff83d29b345b7a983a70d48e26e55e9b017c65853546600c0815f28630a9143",2,1,"f8c16e25663d03fe52091456f16f7dbc1fe7e7a5cba125a08c9c65d6af748c01","0ebcd8330179e51831e0c9f75766fd9c84d46fe5d1da3b702ce1eadd1e37cf58",1,87000000000,28700,28700,28700,-86999971300,86999971300,86999971300,0,86999971300,0
5950531,"b532a68b46b358a6c53bbb01f51c4412b2ac3561c6da34c7e46ef794a5998488",2,1,"b00950bdff5bb3e400f59858e7ef74e7f5ff886d5732e734f02d70d8ea5e8e82","b00950bdff5bb3e400f59858e7ef74e7f5ff886d5732e734f02d70d8ea5e8e82",0,87000000000,28700,28700,86999971300,-28700,0,0,28700,28700,0
5950547,"91363517276c746830f46bb3dcf587f61921bbc7f97760f501e254b43ba478c7",2,1,"2c017212d770c1d41047efe33887a62daf19b32246734f832b5b9fcaca452f8e","f5489f2b5e37a4ab241bdb4061e2b02a7c83b0a83c5ace51807d471577d28ffd",1,29000000000,28700,28700,28700,-28999971300,28999971300,28999971300,0,28999971300,0
5950576,"5d47049b923102790efb8e6b01effa04cfda3aac0a456b24128f45e5d6aaf121",2,1,"871a1987e6645a52a5aadf8fc74a169c7943fc3cfc563d3f8ccc0a066f638010","e941eabc5d3c55d12f3ff0d61de21b04df1fb746d7362d2634a9e9abe56ab52d",1,29000000000,28700,28700,28700,-28999971300,28999971300,28999971300,0,28999971300,0
